sname,api06,avgedyrs,meals,englearn,full,emer
Cabrillo High,776,13.82,28,8,96,3
Lompoc High,661,12.28,54,22,99,0
Dos Pueblos Senior High,792,15.18,17,10,98,2
San Marcos Senior High,727,14.38,24,20,98,1
Santa Barbara Senior High,737,13.92,25,22,100,0
Pioneer Valley High,661,12.58,58,25,95,6
Righetti (Ernest) High,719,14.1,26,8,96,4
Santa Maria High,632,11.66,71,38,98,2
Santa Ynez Valley Union High,768,14.58,16,9,100,0
Leigh High,808,15.36,1,0,87,6
Branham High,785,14.7,7,0,97,0
Del Mar High,700,13.84,35,16,91,3
Prospect High,733,14.5,20,10,87,7
Westmont High,738,14.9,8,5,93,4
Yerba Buena High,638,11.72,49,40,96,4
Santa Teresa High,728,14.46,13,6,88,3
Independence High,710,13.08,31,28,95,1
Hill (Andrew P.) High,651,12.5,50,32,96,2
Lick (James) High,610,11.88,43,39,93,2
Mt. Pleasant High,689,12.88,34,22,90,1
Oak Grove High,669,13.56,32,18,90,10
Overfelt (William C.) High,621,11.28,50,45,89,17
Piedmont Hills High,770,14.4,19,12,82,9
Silver Creek High,718,13.26,38,18,90,4
Cupertino High,810,15.68,6,9,89,7
Fremont High,706,13.3,22,22,95,3
Homestead High,842,15.9,8,11,90,8
Lynbrook High,901,16.88,3,5,88,7
Monta Vista High,911,17.06,1,5,94,4
Gilroy High,703,13.56,38,19,91,5
Los Gatos High,866,16.06,1,0,92,2
Saratoga High,906,17.66,0,1,95,3
Sobrato (Ann) High,741,14.6,14,10,98,2
Live Oak High,733,14.42,14,14,94,3
Los Altos High,797,15.3,13,9,91,9
Mountain View High,827,16.04,8,6,97,3
Gunn (Henry M.) High,885,17.04,5,8,95,2
Palo Alto High,887,16.96,5,1,95,3
Gunderson High,652,13.26,45,20,98,5
Leland High,845,16.42,5,4,88,0
Lincoln (Abraham) High,701,13.9,35,17,90,5
Pioneer High,795,14.86,19,8,91,3
San Jose High Academy,656,12.54,60,31,92,15
Willow Glen High,682,13.56,41,27,90,17
Santa Clara High,714,13.62,29,16,95,3
Wilcox (Adrian) High,712,13.66,32,17,96,5
Milpitas High,755,14.26,32,16,96,1
Pajaro Valley High,579,11.82,68,42,87,5
Aptos High,737,14.78,19,8,90,1
Watsonville High,599,11.98,64,42,94,5
San Lorenzo Valley High,761,14.98,9,1,94,4
Harbor High,755,14.56,20,7,100,0
Santa Cruz High,750,15.26,20,8,96,4
Soquel High,743,15.02,13,7,94,0
West Valley High,760,14.04,21,0,100,0
Anderson High,699,13.52,45,1,100,0
Foothill High,763,14.7,16,0,96,4
Enterprise High,746,14.02,38,1,100,0
Shasta High,785,15,21,1,100,0
Central Valley High,723,13.48,42,4,100,0
Benicia High,809,15.36,6,1,93,6
Dixon High,724,14.08,42,11,94,2
Rodriguez (Angelo) High,729,14.34,18,3,94,5
Armijo High,641,13.38,35,10,83,8
Fairfield High,674,13.54,31,7,89,6
Vanden High,782,14.62,12,3,94,3
Wood (Will C.) High,729,14.06,15,5,91,10
Vacaville High,741,14.04,22,12,96,10
Bethel (Jesse M.) High,659,13.96,26,10,89,3
Hogan High,647,13.56,31,12,81,9
Vallejo High,634,13.56,38,13,95,2
Casa Grande High,741,14.46,23,17,98,2
Petaluma High,743,14.84,20,9,96,4
Allen (Elsie) High,640,12.3,39,35,99,0
Carrillo (Maria) High,812,15.44,5,5,100,0
Montgomery High,748,14.74,14,12,100,0
Piner High,673,13.3,27,23,98,0
Santa Rosa High,745,14.62,18,15,100,0
Analy High,783,15.36,10,4,100,0
El Molino High,741,14.48,18,5,98,2
Sonoma Valley High,731,13.96,23,20,99,0
Rancho Cotate High,696,13.94,10,11,98,0
Windsor High,718,13.22,0,12,89,4
Healdsburg High,729,13.8,25,15,98,0
Central Valley High,739,12.04,58,16,87,11
Ceres High,687,12.4,54,20,94,4
Beyer (Fred C.) High,739,13.94,16,7,97,2
Johansen (Peter) High,713,13,32,16,99,1
Davis (Grace M.) High,723,13.16,28,10,98,2
Thomas Downey High,697,12.7,49,19,98,2
Modesto High,716,12.5,52,20,100,1
Patterson High,661,12.28,47,32,77,2
Hughson High,742,15.28,34,13,100,0
Riverbank High,648,12.3,50,34,91,7
Oakdale High,745,13.52,23,3,99,1
Connecting Waters Charter,625,14.12,30,1,95,8
Pitman (John H.) High,722,13.52,29,21,92,1
Turlock High,713,13.04,41,21,96,3
Sutter High,738,14.48,13,2,88,12
River Valley High,719,13.72,50,14,95,0
Yuba City High,749,13.4,50,19,98,3
Corning High,673,12.82,38,11,98,2
Red Bluff High,707,13.04,34,2,100,0
Orosi High,590,11.3,97,43,89,9
Exeter High,715,13.58,26,9,98,2
Lindsay Senior High,646,11.44,100,50,96,7
Tulare High,732,12.88,41,12,97,1
Tulare Western High,698,12.7,51,12,96,1
Golden West High,669,12.96,35,14,99,1
El Diamante High,719,13.66,26,6,97,1
Mt. Whitney High,698,12.92,38,13,100,3
Redwood High,684,12.9,42,18,97,3
Woodlake High,604,11.84,99,24,87,10
Granite Hills High,638,12.3,38,15,98,2
Monache High,733,12.84,26,13,94,2
Porterville High,661,12.6,22,17,99,0
Dinuba High,659,12.28,97,27,95,1
Sonora High,742,14.56,17,0,99,1
Fillmore Senior High,682,12.84,52,27,94,0
Nordhoff High,769,14.6,21,7,94,4
Pacifica High,642,12.6,52,28,87,1
Camarillo (Adolfo) High,794,15.02,12,8,93,2
Channel Islands High,646,12.28,50,36,93,2
Hueneme High,626,12.28,58,38,95,2
Oxnard High,679,13.52,44,23,93,2
Rio Mesa High,697,13.68,35,24,92,3
Santa Paula High,637,12.08,64,22,89,3
Santa Susana High,806,14.48,11,1,96,0
Royal High,766,14.02,18,7,95,1
Simi Valley High,769,14.14,10,3,95,0
Foothill Technology High,887,15.42,14,2,97,0
Buena High,762,14.26,28,8,99,1
Ventura High,688,13.88,34,18,98,1
Westlake High,841,15.9,9,5,93,2
Newbury Park High,826,15.16,9,5,91,3
Thousand Oaks High,837,15.1,8,2,95,2
Oak Park High,867,16.34,2,1,98,0
Moorpark High,787,14.9,21,8,94,5
Davis Senior High,829,16.78,11,6,99,1
River City Senior High,696,13.02,49,15,90,6
Pioneer High,693,13.52,36,24,83,12
Woodland Senior High,669,13.38,38,23,95,3
Lindhurst High,657,12.14,63,33,94,0
Marysville High,721,13.92,33,13,95,3
