ps_id,region_name,subregion_name,Baburin Sergei Nikolaevich,Grudinin Pavel Nikolaevich,Zhirinovskiy Vladimir Volfovich,Putin Vladimir Vladimirovich,Sobchak Ksenia Anatolyevna,Suraikin Maksim Aleksandrovich,Titov Boris Yurievich,Yavlinskiy Gregory Alekseivich,Number of ballot papers in ballot boxes,Number of valid ballot papers,Number of voters enlisted,Number of ballot papers in portable ballot boxes,Number of ballot papers given inside the polling station,Number of ballot papers given outside the polling station,Number of ballot papers given for advance voting,Number of excessive ballot papers,Number of ballot papers acquired at the polling station,Number of invalid ballot papers,Number of unused ballot papers,Number of lost ballot papers
1588,Irkutskaa oblast_,gorodskaa,5,133,55,687,8,9,4,8,893,909,1497,28,893,28,0,0,1400,12,479,0
1589,Irkutskaa oblast_,gorodskaa,4,157,62,631,10,4,5,4,883,877,1550,12,883,12,0,0,1500,18,605,0
1590,Irkutskaa oblast_,gorodskaa,5,150,59,650,8,9,4,3,891,888,1572,14,891,14,0,0,1550,17,645,0
1591,Irkutskaa oblast_,gorodskaa,4,111,51,675,9,1,4,5,844,860,1443,32,844,32,0,0,1450,16,574,0
1592,Irkutskaa oblast_,gorodskaa,4,130,55,678,6,6,4,3,885,886,1556,17,885,17,0,0,1500,16,598,0
1593,Irkutskaa oblast_,gorodskaa,6,141,70,574,9,3,2,0,746,805,1468,66,746,66,0,0,1400,7,588,0
1594,Irkutskaa oblast_,gorodskaa,10,148,67,719,11,12,9,3,941,979,1608,46,941,46,0,0,1550,8,563,0
1595,Irkutskaa oblast_,gorodskaa,5,159,53,701,6,5,4,5,922,938,1584,34,922,34,0,0,1550,18,594,0
1596,Irkutskaa oblast_,gorodskaa,7,139,72,681,4,10,9,5,922,927,1625,18,922,18,0,0,1600,13,660,0
1597,Irkutskaa oblast_,gorodskaa,5,150,62,701,15,10,5,8,958,956,1616,10,958,10,0,0,1550,12,582,0
1598,Irkutskaa oblast_,gorodskaa,6,135,55,622,6,4,9,9,844,846,1420,10,844,10,0,0,1350,8,496,0
1599,Irkutskaa oblast_,gorodskaa,3,125,61,623,6,3,7,2,834,830,1469,12,834,12,0,0,1400,16,554,0
1600,Irkutskaa oblast_,gorodskaa,5,125,52,507,6,2,3,3,691,703,1367,17,691,17,0,0,1350,5,642,0
1601,Irkutskaa oblast_,gorodskaa,7,139,62,628,8,6,4,0,850,854,1604,22,850,22,0,0,1550,18,678,0
1602,Irkutskaa oblast_,gorodskaa,3,147,49,557,8,4,6,3,763,777,1354,25,763,25,0,0,1300,11,512,0
1603,Irkutskaa oblast_,gorodskaa,3,114,43,583,8,7,4,1,756,763,1333,13,756,13,0,0,1300,6,531,0
1604,Irkutskaa oblast_,gorodskaa,1,152,64,623,9,2,2,4,852,857,1559,14,852,14,0,0,1550,9,684,0
1919,Irkutskaa oblast_,gorodskaa,3,149,57,707,12,5,2,4,912,939,1566,35,912,35,0,0,1550,8,603,0
1920,Irkutskaa oblast_,gorodskaa,7,181,68,710,12,5,6,2,986,991,1778,21,986,21,0,0,1750,16,743,0
1606,Irkutskaa oblast_,Ust_-Ilimskaa,2,70,48,409,0,3,2,1,495,535,1005,46,495,46,0,0,900,6,359,0
1607,Irkutskaa oblast_,Ust_-Ilimskaa,6,83,35,499,3,1,1,2,618,630,1075,23,618,23,0,0,900,11,259,0
1608,Irkutskaa oblast_,Ust_-Ilimskaa,5,75,38,530,6,6,3,1,617,664,1471,51,617,46,5,0,1300,4,632,0
1609,Irkutskaa oblast_,Ust_-Ilimskaa,5,93,29,353,9,2,4,1,490,496,1043,16,490,16,0,0,900,10,394,0
1610,Irkutskaa oblast_,Ust_-Ilimskaa,3,104,56,410,5,3,1,1,567,583,1052,25,567,25,0,0,900,9,308,0
1611,Irkutskaa oblast_,Ust_-Ilimskaa,3,98,48,427,6,3,0,1,576,586,1218,20,576,20,0,0,1000,10,404,0
1612,Irkutskaa oblast_,Ust_-Ilimskaa,1,79,43,384,0,0,1,3,502,511,1153,15,502,15,0,0,1000,6,483,0
1613,Irkutskaa oblast_,Ust_-Ilimskaa,3,94,39,353,4,3,3,1,494,500,1168,13,494,13,0,0,1000,7,493,0
1614,Irkutskaa oblast_,Ust_-Ilimskaa,2,25,29,202,1,1,0,3,253,263,594,17,253,17,0,0,500,7,230,0
1615,Irkutskaa oblast_,Ust_-Ilimskaa,0,17,2,60,1,0,0,0,77,80,253,4,77,4,0,0,200,1,119,0
1616,Irkutskaa oblast_,Ust_-Ilimskaa,3,38,25,195,1,3,1,3,252,269,684,17,252,17,0,0,600,0,331,0
1617,Irkutskaa oblast_,Ust_-Ilimskaa,3,35,18,190,1,2,0,0,231,249,688,22,231,22,0,0,600,4,347,0
1618,Irkutskaa oblast_,Ust_-Ilimskaa,2,22,17,167,1,3,0,0,199,212,586,13,199,13,0,0,500,0,288,0
1619,Irkutskaa oblast_,Ust_-Ilimskaa,0,7,10,189,0,0,1,1,188,208,375,21,188,21,0,0,300,1,91,0
1620,Irkutskaa oblast_,Ust_-Ilimskaa,2,84,34,390,1,6,1,1,472,519,1070,51,472,51,0,0,920,4,397,0
1621,Irkutskaa oblast_,Ust_-Kutskaa,0,4,1,21,0,0,0,0,25,26,49,1,25,1,0,0,55,0,29,0
1622,Irkutskaa oblast_,Ust_-Kutskaa,0,6,3,25,0,3,0,0,37,37,71,0,37,0,0,0,70,0,33,0
1623,Irkutskaa oblast_,Ust_-Kutskaa,0,3,1,23,0,0,0,0,27,27,54,0,27,0,0,0,55,0,28,0
1624,Irkutskaa oblast_,Ust_-Kutskaa,0,9,1,36,0,0,0,0,41,46,95,5,41,5,0,0,95,0,49,0
1625,Irkutskaa oblast_,Ust_-Kutskaa,0,2,1,31,0,1,0,0,36,35,80,0,36,0,0,0,75,1,39,0
1626,Irkutskaa oblast_,Ust_-Kutskaa,1,33,33,318,1,5,2,1,378,394,914,20,378,14,6,0,900,4,502,0
1627,Irkutskaa oblast_,Ust_-Kutskaa,1,99,50,402,1,5,4,3,554,565,1313,19,554,19,0,0,1200,8,627,0
1628,Irkutskaa oblast_,Ust_-Kutskaa,1,68,44,307,1,3,3,1,420,428,1122,14,420,14,0,0,1100,6,666,0
1629,Irkutskaa oblast_,Ust_-Kutskaa,1,42,22,145,1,0,0,0,202,211,392,13,202,13,0,0,400,4,185,0
1630,Irkutskaa oblast_,Ust_-Kutskaa,0,27,11,123,2,3,1,0,163,167,330,8,163,8,0,0,300,4,129,0
1631,Irkutskaa oblast_,Ust_-Kutskaa,0,40,29,214,1,1,1,0,282,286,863,9,282,9,0,0,900,5,609,0
1632,Irkutskaa oblast_,Ust_-Kutskaa,1,76,36,287,0,3,0,0,375,403,882,31,375,31,0,0,900,3,494,0
1633,Irkutskaa oblast_,Ust_-Kutskaa,3,92,46,337,9,1,1,1,463,490,1288,34,463,34,0,0,1100,7,603,0
1634,Irkutskaa oblast_,Ust_-Kutskaa,0,60,25,284,3,0,1,2,366,375,796,15,366,15,0,0,800,6,419,0
1635,Irkutskaa oblast_,Ust_-Kutskaa,1,63,41,219,1,3,0,0,296,328,806,38,296,38,0,0,800,6,466,0
1636,Irkutskaa oblast_,Ust_-Kutskaa,3,141,65,638,9,6,4,5,856,871,1846,32,856,32,0,0,1900,17,1012,0
1637,Irkutskaa oblast_,Ust_-Kutskaa,7,143,51,600,8,7,3,4,812,823,1461,18,812,18,0,0,1400,7,570,0
1638,Irkutskaa oblast_,Ust_-Kutskaa,1,70,44,336,6,3,4,3,460,467,988,7,460,7,0,0,1000,0,533,0
1639,Irkutskaa oblast_,Ust_-Kutskaa,6,164,65,768,14,3,3,10,1019,1033,1901,26,1019,26,0,0,1900,12,855,0
1640,Irkutskaa oblast_,Ust_-Kutskaa,1,70,32,315,3,1,0,6,403,428,1075,27,403,27,0,0,1000,2,570,0
1641,Irkutskaa oblast_,Ust_-Kutskaa,4,112,60,509,4,4,3,1,642,697,1482,67,642,67,0,0,1500,12,791,0
1642,Irkutskaa oblast_,Ust_-Kutskaa,2,63,43,451,2,3,2,4,563,570,1220,15,563,15,0,0,1200,8,622,0
1643,Irkutskaa oblast_,Ust_-Kutskaa,3,81,34,388,5,2,3,2,492,518,1026,31,492,31,0,0,1000,5,477,0
1644,Irkutskaa oblast_,Ust_-Kutskaa,6,104,49,605,7,3,6,4,757,784,1350,34,758,34,0,0,1300,7,508,0
1645,Irkutskaa oblast_,Ust_-Kutskaa,2,86,52,384,3,3,0,2,516,532,1131,22,516,22,0,0,1000,6,462,0
1646,Irkutskaa oblast_,Ust_-Kutskaa,2,156,94,761,3,6,6,4,1010,1032,2252,37,1010,37,0,0,2000,15,953,0
1647,Irkutskaa oblast_,Ust_-Kutskaa,10,132,55,644,8,7,4,5,861,865,1608,15,861,15,0,0,1500,11,624,0
1648,Irkutskaa oblast_,Ust_-Kutskaa,1,174,79,813,8,6,4,6,1064,1091,2191,46,1064,46,0,0,2000,19,890,0
1649,Irkutskaa oblast_,Ust_-Kutskaa,0,48,26,195,3,0,1,0,266,273,571,13,266,13,0,0,500,6,221,0
1650,Irkutskaa oblast_,Ust_-Kutskaa,5,109,56,512,4,1,3,3,685,693,1248,13,685,13,0,0,1200,5,502,0
1651,Irkutskaa oblast_,Ust_-Kutskaa,5,83,62,424,5,1,1,1,563,582,1313,23,563,23,0,0,1350,4,764,0
1652,Irkutskaa oblast_,Ust_-Kutskaa,3,98,41,437,3,3,1,1,564,587,1314,29,564,29,0,0,1300,6,707,0
1653,Irkutskaa oblast_,Ust_-Kutskaa,2,116,47,471,5,4,5,1,650,651,1428,11,650,11,0,0,1450,10,789,0
1654,Irkutskaa oblast_,Ust_-Kutskaa,0,132,62,536,3,1,1,1,715,736,1405,30,715,30,0,0,1450,9,705,0
1655,Irkutskaa oblast_,Ust_-Kutskaa,3,47,29,229,3,2,1,2,281,316,682,41,281,33,8,0,650,6,328,0
1656,Irkutskaa oblast_,Ust_-Kutskaa,0,6,7,128,0,0,0,1,139,142,259,7,139,7,0,0,250,4,104,0
1657,Irkutskaa oblast_,Ust_-Kutskaa,0,0,4,26,0,0,0,1,27,31,59,4,27,4,0,0,50,0,19,0
1658,Irkutskaa oblast_,Ust_-Kutskaa,6,92,67,326,7,2,1,1,475,502,910,38,475,38,0,0,900,11,387,0
1659,Irkutskaa oblast_,Ust_-Kutskaa,1,41,29,159,2,1,0,1,230,234,459,5,230,5,0,0,370,1,135,0
1660,Irkutskaa oblast_,Ust_-Kutskaa,0,38,36,298,1,1,0,1,368,375,713,13,368,13,0,0,750,6,369,0
1661,Irkutskaa oblast_,Ust_-Kutskaa,3,41,36,293,0,1,2,0,368,376,709,15,368,15,0,0,750,7,367,0
1915,Irkutskaa oblast_,Ust_-Kutskaa,0,11,15,108,2,1,0,0,139,137,145,0,139,0,0,0,140,2,1,0
1916,Irkutskaa oblast_,Ust_-Kutskaa,6,375,164,774,17,11,3,7,1380,1357,1605,0,1380,0,0,0,1600,23,220,0
1933,Irkutskaa oblast_,Ust_-Kutskaa,0,27,19,70,3,1,0,0,124,120,134,0,124,0,0,0,215,4,91,0
148,Irkutskaa oblast_,Balaganskaa,1,39,16,251,2,1,0,0,282,310,544,30,282,30,0,0,560,2,248,0
149,Irkutskaa oblast_,Balaganskaa,0,8,7,78,0,1,0,0,89,94,148,5,89,5,0,0,158,0,64,0
150,Irkutskaa oblast_,Balaganskaa,1,45,13,158,2,1,0,0,190,220,436,34,190,34,0,0,455,4,231,0
151,Irkutskaa oblast_,Balaganskaa,1,22,9,161,0,0,0,0,181,193,374,16,181,16,0,0,388,4,191,0
152,Irkutskaa oblast_,Balaganskaa,0,0,2,48,0,4,0,0,48,54,91,8,48,8,0,0,92,2,36,0
153,Irkutskaa oblast_,Balaganskaa,2,12,9,89,0,0,0,0,97,112,181,15,97,15,0,0,188,0,76,0
154,Irkutskaa oblast_,Balaganskaa,4,63,27,229,0,1,3,0,310,327,638,20,310,20,0,0,665,3,335,0
155,Irkutskaa oblast_,Balaganskaa,0,14,0,27,2,0,0,0,41,43,82,2,41,2,0,0,85,0,42,0
156,Irkutskaa oblast_,Balaganskaa,0,18,16,174,0,0,0,0,192,208,392,18,192,18,0,0,438,2,228,0
157,Irkutskaa oblast_,Balaganskaa,2,60,24,257,4,2,0,0,321,349,779,31,321,31,0,0,802,3,450,0
158,Irkutskaa oblast_,Balaganskaa,7,200,52,552,5,2,1,2,792,821,1580,35,792,35,0,0,1597,6,770,0
159,Irkutskaa oblast_,Balaganskaa,0,121,36,338,0,2,1,1,494,499,963,10,494,10,0,0,990,5,486,0
160,Irkutskaa oblast_,Balaganskaa,1,88,18,207,1,2,0,1,307,318,654,12,307,12,0,0,682,1,363,0
1662,Irkutskaa oblast_,Ust_-Udinskaa,0,11,22,329,0,2,0,1,285,365,727,84,285,84,0,0,740,4,371,0
1663,Irkutskaa oblast_,Ust_-Udinskaa,1,19,1,102,1,1,0,0,120,125,227,5,120,5,0,0,233,0,108,0
1664,Irkutskaa oblast_,Ust_-Udinskaa,0,18,15,264,3,3,2,0,296,305,648,11,296,11,0,0,656,2,349,0
1665,Irkutskaa oblast_,Ust_-Udinskaa,1,2,7,98,2,1,0,0,97,111,215,15,97,15,0,0,222,1,110,0
1666,Irkutskaa oblast_,Ust_-Udinskaa,0,23,21,215,0,0,0,0,239,259,523,22,239,22,0,0,530,2,269,0
1667,Irkutskaa oblast_,Ust_-Udinskaa,0,36,26,211,0,1,0,1,258,275,786,19,258,19,0,0,811,2,534,0
1668,Irkutskaa oblast_,Ust_-Udinskaa,1,66,18,266,0,0,1,0,330,352,821,30,330,30,0,0,850,8,490,0
1669,Irkutskaa oblast_,Ust_-Udinskaa,2,59,30,293,7,1,3,0,372,395,773,25,372,25,0,0,804,2,407,0
1670,Irkutskaa oblast_,Ust_-Udinskaa,1,34,20,246,2,0,0,0,272,303,766,33,272,33,0,0,802,2,497,0
1671,Irkutskaa oblast_,Ust_-Udinskaa,0,5,5,67,0,0,0,1,73,78,177,7,73,7,0,0,170,2,90,0
1672,Irkutskaa oblast_,Ust_-Udinskaa,1,12,22,141,1,0,0,0,172,177,431,7,172,7,0,0,450,2,271,0
1673,Irkutskaa oblast_,Ust_-Udinskaa,0,7,14,122,0,1,0,0,134,144,412,10,134,10,0,0,410,0,266,0
1674,Irkutskaa oblast_,Ust_-Udinskaa,0,16,23,251,1,0,0,0,275,291,578,20,275,20,0,0,600,4,305,0
1675,Irkutskaa oblast_,Ust_-Udinskaa,2,1,8,147,2,1,0,1,152,162,297,11,152,11,0,0,296,1,133,0
1676,Irkutskaa oblast_,Ust_-Udinskaa,0,6,11,174,0,0,0,0,184,191,338,9,184,9,0,0,336,2,143,0
1677,Irkutskaa oblast_,Ust_-Udinskaa,1,40,32,281,7,4,1,0,349,366,786,22,349,22,0,0,794,5,423,0
1678,Irkutskaa oblast_,Ust_-Udinskaa,0,3,1,59,0,0,0,0,56,63,178,8,56,8,0,0,185,1,121,0
1679,Irkutskaa oblast_,Ust_-Udinskaa,0,7,17,90,0,1,0,0,105,115,240,11,105,11,0,0,243,1,127,0
1680,Irkutskaa oblast_,Ust_-Udinskaa,0,2,0,40,0,0,0,0,37,42,81,5,37,5,0,0,80,0,38,0
1681,Irkutskaa oblast_,Ust_-Udinskaa,0,8,19,111,0,0,0,0,127,138,395,12,127,12,0,0,410,1,271,0
1682,Irkutskaa oblast_,Ust_-Udinskaa,0,4,10,73,0,0,0,0,85,87,192,3,85,3,0,0,190,1,102,0
1683,Irkutskaa oblast_,Ust_-Udinskaa,1,0,3,99,0,0,0,1,97,104,238,7,97,7,0,0,243,0,139,0
1921,Irkutskaa oblast_,Ust_-Udinskaa,2,59,18,330,3,1,0,3,377,416,820,43,377,43,0,0,850,4,430,0
1922,Irkutskaa oblast_,Ust_-Udinskaa,2,12,16,114,1,2,1,0,147,148,417,3,147,3,0,0,433,2,283,0
1923,Irkutskaa oblast_,Ust_-Udinskaa,0,3,4,19,0,0,0,0,23,26,67,4,23,4,0,0,62,1,35,0
1684,Irkutskaa oblast_,gorodskaa,0,49,27,199,3,0,3,1,270,282,568,19,270,19,0,0,550,7,261,0
1685,Irkutskaa oblast_,gorodskaa,0,44,30,211,0,1,4,1,266,291,541,26,266,26,0,0,500,1,208,0
1686,Irkutskaa oblast_,gorodskaa,4,65,62,447,2,2,2,0,554,584,1335,40,554,40,0,0,1300,10,706,0
1687,Irkutskaa oblast_,gorodskaa,1,65,74,336,1,4,2,0,464,483,968,27,464,27,0,0,950,8,459,0
1688,Irkutskaa oblast_,gorodskaa,0,43,28,157,0,1,0,3,226,232,573,7,226,7,0,0,550,1,317,0
1689,Irkutskaa oblast_,gorodskaa,2,66,38,314,3,4,1,2,422,430,975,16,422,16,0,0,950,8,512,0
1690,Irkutskaa oblast_,gorodskaa,2,73,40,436,5,5,3,1,532,565,1091,42,532,42,0,0,1050,9,476,0
1691,Irkutskaa oblast_,gorodskaa,5,110,63,503,6,8,2,1,631,698,1249,70,631,70,0,0,1200,3,499,0
1692,Irkutskaa oblast_,gorodskaa,2,58,32,356,2,1,4,2,444,457,831,16,444,16,0,0,800,3,340,0
1693,Irkutskaa oblast_,gorodskaa,4,71,41,396,8,1,1,5,509,527,814,23,509,23,0,0,800,5,268,0
1694,Irkutskaa oblast_,gorodskaa,0,111,50,585,4,0,3,1,726,754,1310,42,726,42,0,0,1300,14,532,0
1695,Irkutskaa oblast_,gorodskaa,4,91,51,416,5,3,5,2,565,577,1114,19,565,19,0,0,1100,7,516,0
1696,Irkutskaa oblast_,gorodskaa,1,66,42,283,10,1,2,1,391,406,669,17,391,17,0,0,650,2,242,0
1697,Irkutskaa oblast_,gorodskaa,4,88,44,406,3,6,0,2,542,553,896,19,542,19,0,0,850,8,289,0
1698,Irkutskaa oblast_,gorodskaa,3,82,57,483,3,2,4,2,621,636,1020,29,621,29,0,0,1050,14,400,0
1699,Irkutskaa oblast_,gorodskaa,2,108,57,621,9,2,5,7,692,811,1284,130,692,130,0,0,1200,11,378,0
1700,Irkutskaa oblast_,gorodskaa,2,76,41,396,4,3,3,6,501,531,856,38,501,38,0,0,800,8,261,0
1701,Irkutskaa oblast_,gorodskaa,3,85,37,496,7,2,1,3,615,634,1039,34,615,34,0,0,1050,15,401,0
1702,Irkutskaa oblast_,gorodskaa,4,53,41,420,3,1,4,3,512,529,880,24,512,24,0,0,900,7,364,0
1703,Irkutskaa oblast_,gorodskaa,6,52,27,326,6,2,3,3,401,425,692,29,401,29,0,0,650,5,220,0
1704,Irkutskaa oblast_,gorodskaa,3,88,52,523,6,10,2,4,668,688,1134,31,668,31,0,0,1150,11,451,0
1705,Irkutskaa oblast_,gorodskaa,3,94,33,344,5,3,1,2,471,485,782,17,471,17,0,0,800,3,312,0
1706,Irkutskaa oblast_,gorodskaa,0,31,36,201,1,1,0,0,244,270,516,32,244,32,0,0,500,6,224,0
1707,Irkutskaa oblast_,gorodskaa,2,90,81,524,3,3,1,3,620,707,1380,95,620,95,0,0,1300,8,585,0
1708,Irkutskaa oblast_,gorodskaa,0,40,33,218,5,5,1,5,232,307,680,78,232,78,0,0,700,3,390,0
1709,Irkutskaa oblast_,gorodskaa,7,62,48,387,2,2,1,1,477,510,1081,40,477,40,0,0,950,7,433,0
1710,Irkutskaa oblast_,gorodskaa,1,92,56,396,4,2,2,1,531,554,981,27,531,27,0,0,950,4,392,0
1711,Irkutskaa oblast_,gorodskaa,2,10,5,111,2,1,1,1,122,133,247,12,122,12,0,0,200,1,66,0
1712,Irkutskaa oblast_,gorodskaa,0,25,26,142,0,1,0,1,191,195,499,9,191,9,0,0,500,5,300,0
1713,Irkutskaa oblast_,gorodskaa,1,62,31,214,4,1,1,0,271,314,613,48,271,48,0,0,600,5,281,0
1714,Irkutskaa oblast_,gorodskaa,4,37,34,260,1,0,1,1,306,338,692,32,306,32,0,0,700,0,362,0
1715,Irkutskaa oblast_,gorodskaa,0,12,14,109,1,0,1,0,104,137,204,33,104,33,0,0,200,0,63,0
1716,Irkutskaa oblast_,gorodskaa,3,121,90,633,3,3,2,1,808,856,1508,63,808,63,0,0,1500,15,629,0
1717,Irkutskaa oblast_,gorodskaa,1,29,15,123,1,1,0,0,154,170,269,17,154,17,0,0,200,1,29,0
1718,Irkutskaa oblast_,gorodskaa,8,97,46,374,3,5,1,4,508,538,876,33,508,33,0,0,900,3,359,0
1719,Irkutskaa oblast_,gorodskaa,5,99,52,483,5,7,1,2,623,654,1105,45,623,45,0,0,1100,14,432,0
1720,Irkutskaa oblast_,gorodskaa,3,100,72,636,11,5,2,1,795,830,1449,45,795,45,0,0,1400,10,560,0
1721,Irkutskaa oblast_,gorodskaa,5,76,56,328,6,3,2,1,465,477,794,17,465,17,0,0,700,5,218,0
1722,Irkutskaa oblast_,gorodskaa,5,139,83,668,5,8,4,5,765,917,1614,166,765,166,0,0,1550,14,619,0
1723,Irkutskaa oblast_,gorodskaa,0,20,9,99,0,0,0,0,126,128,241,6,126,6,0,0,200,4,68,0
1724,Irkutskaa oblast_,gorodskaa,2,12,16,87,1,0,0,0,112,118,220,10,112,10,0,0,200,4,78,0
1725,Irkutskaa oblast_,gorodskaa,1,71,63,377,7,3,3,1,425,526,1112,104,425,104,0,0,1050,3,521,0
1726,Irkutskaa oblast_,gorodskaa,2,47,33,270,1,1,1,1,337,356,644,23,337,23,0,0,600,4,240,0
1727,Irkutskaa oblast_,gorodskaa,6,138,72,701,8,4,2,5,847,936,1556,98,847,98,0,0,1550,9,605,0
1728,Irkutskaa oblast_,gorodskaa,0,36,35,156,1,2,1,0,226,231,479,10,226,10,0,0,450,5,214,0
1729,Irkutskaa oblast_,gorodskaa,1,31,23,130,1,0,0,1,183,187,351,6,183,6,0,0,300,2,111,0
1730,Irkutskaa oblast_,gorodskaa,0,22,9,158,0,0,2,2,187,193,316,7,187,7,0,0,300,1,106,0
1731,Irkutskaa oblast_,gorodskaa,2,54,25,325,4,2,1,0,402,413,710,17,402,17,0,0,700,6,281,0
1605,Irkutskaa oblast_,Ceremhovskaa,0,1,7,81,0,0,0,0,72,89,121,18,72,18,0,0,132,1,42,0
1732,Irkutskaa oblast_,Ceremhovskaa,0,62,67,416,5,4,0,2,543,556,874,22,543,22,0,0,899,9,334,0
1733,Irkutskaa oblast_,Ceremhovskaa,0,8,26,157,2,0,1,0,162,194,283,32,162,32,0,0,292,0,98,0
1734,Irkutskaa oblast_,Ceremhovskaa,0,4,14,99,0,1,0,0,112,118,173,6,112,6,0,0,165,0,47,0
1735,Irkutskaa oblast_,Ceremhovskaa,3,112,59,500,3,5,1,0,622,683,979,71,622,71,0,0,1025,10,332,0
1736,Irkutskaa oblast_,Ceremhovskaa,0,13,14,122,4,0,0,0,141,153,229,13,141,13,0,0,237,1,83,0
1737,Irkutskaa oblast_,Ceremhovskaa,4,11,24,269,1,1,0,0,266,310,479,48,266,48,0,0,493,4,179,0
1738,Irkutskaa oblast_,Ceremhovskaa,2,21,16,97,0,1,0,0,101,137,203,38,101,38,0,0,216,2,77,0
1739,Irkutskaa oblast_,Ceremhovskaa,5,68,33,327,2,1,1,1,396,438,598,52,396,52,0,0,713,10,265,0
1740,Irkutskaa oblast_,Ceremhovskaa,1,18,22,141,2,1,0,0,160,185,285,32,160,32,0,0,315,7,123,0
1741,Irkutskaa oblast_,Ceremhovskaa,5,52,42,396,4,3,1,0,417,503,756,91,418,91,0,0,786,5,277,0
1742,Irkutskaa oblast_,Ceremhovskaa,0,45,24,314,4,1,2,0,370,390,502,23,370,23,0,0,554,3,161,0
1743,Irkutskaa oblast_,Ceremhovskaa,1,30,21,184,0,2,2,1,205,241,336,40,205,40,0,0,330,4,85,0
1744,Irkutskaa oblast_,Ceremhovskaa,1,6,9,48,0,0,0,0,61,64,112,6,61,6,0,0,120,3,53,0
1745,Irkutskaa oblast_,Ceremhovskaa,2,9,16,146,1,0,0,1,171,175,202,6,171,6,0,0,234,2,57,0
1746,Irkutskaa oblast_,Ceremhovskaa,0,7,7,68,1,0,0,0,69,83,96,17,69,17,0,0,115,3,29,0
1747,Irkutskaa oblast_,Ceremhovskaa,2,40,25,401,2,4,0,1,436,475,691,42,436,42,0,0,705,3,227,0
1748,Irkutskaa oblast_,Ceremhovskaa,1,9,11,110,0,0,0,0,123,131,197,10,123,10,0,0,204,2,71,0
1749,Irkutskaa oblast_,Ceremhovskaa,0,10,23,115,1,2,1,0,146,152,213,8,146,8,0,0,210,2,56,0
1750,Irkutskaa oblast_,Ceremhovskaa,1,7,10,110,0,0,0,0,121,128,167,7,121,7,0,0,164,0,36,0
1751,Irkutskaa oblast_,Ceremhovskaa,4,149,67,612,6,9,3,2,832,852,1430,39,832,39,0,0,1380,19,509,0
1752,Irkutskaa oblast_,Ceremhovskaa,5,143,51,617,4,5,2,1,787,828,1515,53,787,53,0,0,1480,12,640,0
1753,Irkutskaa oblast_,Ceremhovskaa,5,132,42,437,6,5,1,3,615,631,1200,28,615,28,0,0,1150,12,507,0
1754,Irkutskaa oblast_,Ceremhovskaa,1,22,22,173,1,2,0,0,203,221,411,19,203,19,0,0,405,1,183,0
1755,Irkutskaa oblast_,Ceremhovskaa,4,139,57,667,4,3,2,3,836,879,1481,57,836,57,0,0,1450,14,557,0
1756,Irkutskaa oblast_,Ceremhovskaa,2,63,52,318,1,2,0,0,410,438,641,31,410,31,0,0,787,3,346,0
1757,Irkutskaa oblast_,Ceremhovskaa,0,12,14,103,0,0,0,0,118,129,146,11,118,11,0,0,146,0,17,0
1758,Irkutskaa oblast_,Ceremhovskaa,2,76,50,362,3,0,0,0,460,493,740,39,460,39,0,0,787,6,288,0
1759,Irkutskaa oblast_,Ceremhovskaa,0,27,25,230,3,1,1,0,256,287,380,32,256,32,0,0,385,1,97,0
1760,Irkutskaa oblast_,Ceremhovskaa,0,6,7,37,0,2,0,0,52,52,78,0,52,0,0,0,83,0,31,0
1761,Irkutskaa oblast_,Ceremhovskaa,2,17,19,251,0,3,0,1,267,293,498,27,267,27,0,0,472,1,178,0
1762,Irkutskaa oblast_,Ceremhovskaa,0,6,3,47,0,0,0,0,44,56,90,12,44,12,0,0,91,0,35,0
1763,Irkutskaa oblast_,Ceremhovskaa,1,33,28,346,2,1,0,0,389,411,706,23,389,23,0,0,721,1,309,0
1764,Irkutskaa oblast_,Ceremhovskaa,3,41,37,444,3,2,2,0,487,532,775,49,487,49,0,0,810,4,274,0
1765,Irkutskaa oblast_,Ceremhovskaa,0,6,11,152,0,1,0,0,130,170,224,40,130,40,0,0,236,0,66,0
1766,Irkutskaa oblast_,Ceremhovskaa,0,2,12,123,1,0,0,0,110,138,175,28,110,28,0,0,183,0,45,0
1767,Irkutskaa oblast_,Ceremhovskaa,1,9,17,134,2,1,0,0,128,164,265,38,128,38,0,0,283,2,117,0
1768,Irkutskaa oblast_,Ceremhovskaa,1,26,30,243,0,1,0,1,270,302,534,37,270,37,0,0,564,5,257,0
1769,Irkutskaa oblast_,Ceremhovskaa,0,11,0,82,0,2,0,0,91,95,135,5,91,5,0,0,142,1,46,0
1770,Irkutskaa oblast_,Ceremhovskaa,0,3,14,92,0,0,0,0,91,109,156,18,91,18,0,0,177,0,68,0
1771,Irkutskaa oblast_,Ceremhovskaa,0,22,17,312,2,0,1,0,331,354,556,28,331,28,0,0,582,5,223,0
1772,Irkutskaa oblast_,Ceremhovskaa,0,5,6,42,1,0,0,0,43,54,80,11,43,11,0,0,83,0,29,0
1773,Irkutskaa oblast_,Ceremhovskaa,0,14,17,161,0,2,0,0,166,194,296,30,166,30,0,0,282,2,86,0
1774,Irkutskaa oblast_,Ceremhovskaa,0,39,18,232,3,0,0,0,265,292,405,28,265,28,0,0,409,1,116,0
1775,Irkutskaa oblast_,Ceremhovskaa,2,8,14,136,0,0,0,0,148,160,204,16,148,16,0,0,204,4,40,0
